id,brand,model,category,price
1,Apple,iPhone 15,Electronics,999.99
2,Samsung,Galaxy S24,Electronics,899.99
3,Dell,XPS 13,Laptops,1199.99
4,HP,Spectre x360,Laptops,1299.99
5,Logitech,MX Master 3,Accessories,99.99
6,Apple,AirPods Pro 2,Electronics,249.99
7,Bose,QuietComfort 35 II,Headphones,299.99
8,Sony,WH-1000XM5,Headphones,379.99
9,Canon,EOS Rebel T7,Camera,499.99
10,Nikon,D3500,Camera,449.99
11,GoPro,HERO11,Camera,399.99
12,Apple,Watch Series 9,Smartwatches,399.99
13,Fossil,Gen 6,Smartwatches,299.99
14,Garmin,Forerunner 255,Smartwatches,199.99
15,Fitbit,Charge 5,Fitness,149.99
16,Philips,Sonicare DiamondClean,Personal Care,249.99
17,Oral-B,Pro 1000,Personal Care,49.99
18,iRobot,Roomba i7+,Home Appliances,799.99
19,Dyson,V11 Torque Drive,Vacuums,599.99
20,Instant Pot,Duo,Home Appliances,89.99
21,KitchenAid,Artisan Stand Mixer,Kitchen,399.99
22,Cuisinart,14-Cup Food Processor,Kitchen,199.99
23,Ninja,Professional Blender,Kitchen,99.99
24,Vitacost,Organic Protein Powder,Health,29.99
25,Optimum Nutrition,Gold Standard Whey,Health,49.99
26,BSN,Syntha-6,Health,39.99
27,Nike,Air Zoom Pegasus 40,Sports,119.99
28,Adidas,Ultraboost 24,Sports,179.99
29,Under Armour,HOVR Sonic 5,Sports,139.99
30,Reebok,Nano X2,Sports,129.99
31,New Balance,Fresh Foam 1080v12,Sports,149.99
32,Kerastase,Nutritive Shampoo,Beauty,25.99
33,Redken,Extreme Shampoo,Beauty,22.99
34,Neutrogena,Hydro Boost Moisturizer,Beauty,19.99
35,Clinique,Moisture Surge,Beauty,39.99
36,Estée Lauder,Double Wear Foundation,Beauty,45.99
37,Tom Ford,Black Orchid Fragrance,Beauty,139.99
38,Chanel,No. 5 Fragrance,Beauty,124.99
39,Yves Saint Laurent,Libre Fragrance,Beauty,125.99
40,Burberry,London Fragrance,Beauty,79.99
41,Ray-Ban,Wayfarer Sunglasses,Accessories,149.99
42,Oakley,Frogskins Sunglasses,Accessories,139.99
43,Maui Jim,Peahi Sunglasses,Accessories,249.99
44,Levi’s,501 Original Fit Jeans,Fashion,59.99
45,Nike,Dri-FIT T-Shirt,Fashion,29.99
46,Adidas,Essentials Sweatpants,Fashion,49.99
47,Uniqlo,Ultra Light Down Jacket,Fashion,69.99
48,Zara,Basic Blazer,Fashion,89.99
49,H&M,Slim Fit Chinos,Fashion,39.99
50,Gucci,GG Marmont Bag,Fashion,2499.99
51,Louis Vuitton,Neverfull Bag,Fashion,1200.00
52,Chanel,Classic Flap Bag,Fashion,5500.00
53,Prada,Saffiano Leather Wallet,Fashion,399.99
54,Coach,Tabby Crossbody Bag,Fashion,350.00
55,Apple,iPad Pro,Tablets,799.99
56,Samsung,Galaxy Tab S9,Tablets,749.99
57,Microsoft,Surface Pro 9,Tablets,899.99
58,Amazon,Fire HD 10,Tablets,149.99
59,Google,Pixel Slate,Tablets,599.99
60,Lego,Creator 3-in-1 Mustang,Toys,69.99
61,Fisher-Price,Little People Farm,Toys,29.99
62,Barbie,Dream House,Toys,199.99
63,NERF,Fortnite Blaster,Toys,49.99
64,Hot Wheels,Track Set,Toys,39.99
65,Play-Doh,Fun Factory,Toys,12.99
66,Disney Princess,Royal Ball Gown,Toys,39.99
67,Hot Toys,Iron Man Figure,Toys,249.99
68,LEGO,Star Wars Millennium Falcon,Toys,149.99
69,Kindle,Paperwhite,Books,129.99
70,Apple,iMac 24-inch,Computers,1299.99
71,HP,Envy 34-inch Curved Monitor,Computers,699.99
72,Dell,Ultrasharp U2723QE,Computers,549.99
