id,client_id,product_id,quantity,date
1,15796,20,1,2018-01-01
2,861,171,4,2018-01-01
3,76821,178,1,2018-01-01
4,54887,43,1,2018-01-01
5,6266,24,1,2018-01-01
6,82387,82,1,2018-01-01
7,37195,84,4,2018-01-01
8,87499,60,3,2018-01-01
9,44132,32,3,2018-01-01
10,60264,122,4,2018-01-01
11,16024,5,2,2018-01-01
12,41091,130,2,2018-01-01
13,67222,154,3,2018-01-01
14,64821,25,4,2018-01-01
15,770,178,3,2018-01-01
16,59736,86,2,2018-01-01
17,62956,167,3,2018-01-01
18,64926,86,3,2018-01-01
19,67970,75,3,2018-01-01
20,5312,11,2,2018-01-01
21,83105,191,2,2018-01-02
22,53708,68,4,2018-01-02
23,85306,97,1,2018-01-02
24,28694,146,2,2018-01-02
25,71933,108,1,2018-01-02
26,93017,122,3,2018-01-02
27,25659,156,1,2018-01-02
28,84479,42,4,2018-01-02
29,18432,60,3,2018-01-02
30,2748,150,4,2018-01-02
31,59151,168,1,2018-01-02
32,65726,62,3,2018-01-02
33,84655,131,2,2018-01-02
34,35774,71,1,2018-01-02
35,67436,191,1,2018-01-02
36,56887,121,3,2018-01-02
37,66804,20,3,2018-01-02
38,31552,199,4,2018-01-02
39,11395,71,2,2018-01-02
40,69093,154,1,2018-01-02
41,3891,169,2,2018-01-03
42,41607,131,2,2018-01-03
43,96277,171,2,2018-01-03
44,80039,145,3,2018-01-03
45,87314,84,2,2018-01-03
46,10628,98,4,2018-01-03
47,8793,181,2,2018-01-03
48,73970,180,3,2018-01-03
49,43002,161,3,2018-01-03
50,76553,60,2,2018-01-03
51,23898,68,4,2018-01-03
52,68149,184,1,2018-01-03
53,23484,105,1,2018-01-03
54,48556,192,4,2018-01-03
55,17160,136,3,2018-01-03
56,80078,197,2,2018-01-03
57,35921,161,1,2018-01-03
58,92068,153,1,2018-01-03
59,67122,199,2,2018-01-03
60,69480,111,1,2018-01-03
61,89476,135,1,2018-01-04
62,19458,59,3,2018-01-04
63,66558,33,1,2018-01-04
64,77190,41,1,2018-01-04
65,78954,161,3,2018-01-04
66,52996,29,1,2018-01-04
67,40758,167,3,2018-01-04
68,9693,185,2,2018-01-04
69,45759,105,1,2018-01-04
70,72410,101,1,2018-01-04
71,71212,64,4,2018-01-04
72,65698,86,4,2018-01-04
73,37066,66,4,2018-01-04
74,92094,114,3,2018-01-04
75,99300,122,1,2018-01-04
76,32607,9,1,2018-01-04
77,11535,29,4,2018-01-04
78,94664,97,3,2018-01-04
79,40398,74,4,2018-01-04
80,91388,124,1,2018-01-04
81,1017,156,3,2018-01-05
82,89790,110,4,2018-01-05
83,55592,53,1,2018-01-05
84,89813,174,4,2018-01-05
85,23248,167,2,2018-01-05
86,24301,76,3,2018-01-05
87,74066,58,2,2018-01-05
88,82799,182,2,2018-01-05
89,9269,134,3,2018-01-05
90,86808,45,2,2018-01-05
91,12186,168,4,2018-01-05
92,63705,151,1,2018-01-05
93,86780,117,3,2018-01-05
94,39100,122,4,2018-01-05
95,8572,170,1,2018-01-05
96,38045,166,2,2018-01-05
97,51215,144,3,2018-01-05
98,61229,74,2,2018-01-05
99,48985,175,1,2018-01-05
100,40775,149,3,2018-01-05
101,2569,74,4,2018-01-06
102,62593,149,2,2018-01-06
103,67564,25,4,2018-01-06
104,2696,124,4,2018-01-06
105,48191,61,4,2018-01-06
106,5259,98,3,2018-01-06
107,87539,54,2,2018-01-06
108,39505,60,4,2018-01-06
109,33160,170,1,2018-01-06
110,13987,189,3,2018-01-06
111,61859,32,4,2018-01-06
112,12667,53,4,2018-01-06
113,38661,172,2,2018-01-06
114,3562,139,4,2018-01-06
115,26855,118,4,2018-01-06
116,64506,47,4,2018-01-06
117,52252,90,2,2018-01-06
118,22663,60,4,2018-01-06
119,8393,36,1,2018-01-06
120,30536,188,3,2018-01-07
121,78604,161,4,2018-01-07
122,52257,42,2,2018-01-07
123,89136,13,1,2018-01-07
124,35223,142,3,2018-01-07
125,77374,186,2,2018-01-07
126,79576,115,2,2018-01-07
127,96355,101,3,2018-01-07
128,84652,122,3,2018-01-07
129,63336,168,2,2018-01-07
130,10966,65,1,2018-01-07
131,24539,133,1,2018-01-07
132,70593,158,1,2018-01-07
133,98019,117,3,2018-01-07
134,8111,173,4,2018-01-07
135,79310,101,2,2018-01-07
136,27267,186,1,2018-01-07
137,52993,39,4,2018-01-07
138,82949,140,3,2018-01-07
139,98807,162,2,2018-01-07
140,6911,109,4,2018-01-08
141,90983,14,2,2018-01-08
142,207,166,3,2018-01-08
143,87055,144,3,2018-01-08
144,87898,106,1,2018-01-08
145,23420,189,2,2018-01-08
146,50637,187,2,2018-01-08
147,50016,75,4,2018-01-08
148,54269,79,2,2018-01-08
149,87940,112,2,2018-01-08
150,18142,67,4,2018-01-08
151,80357,139,1,2018-01-08
152,71911,11,2,2018-01-08
153,56045,16,4,2018-01-08
154,67215,166,3,2018-01-08
155,33828,158,1,2018-01-08
156,55821,169,4,2018-01-08
157,62624,1,2,2018-01-08
158,81735,124,1,2018-01-08
159,75451,38,1,2018-01-08
160,93427,114,1,2018-01-09
161,22300,98,3,2018-01-09
162,43586,60,4,2018-01-09
163,64045,19,1,2018-01-09
164,42558,124,2,2018-01-09
165,49081,187,2,2018-01-09
166,2694,100,2,2018-01-09
167,95004,68,1,2018-01-09
168,95260,138,2,2018-01-09
169,69164,17,1,2018-01-09
170,25940,80,4,2018-01-09
171,48926,85,1,2018-01-09
172,42942,92,1,2018-01-09
173,21835,200,4,2018-01-09
174,18048,29,2,2018-01-09
175,26106,134,1,2018-01-09
176,75767,194,4,2018-01-09
177,15708,119,3,2018-01-09
178,21977,122,4,2018-01-09
179,44263,111,3,2018-01-09
180,23777,191,4,2018-01-10
181,30081,159,1,2018-01-10
182,66843,153,2,2018-01-10
183,61374,87,1,2018-01-10
184,6777,149,1,2018-01-10
185,92788,16,3,2018-01-10
186,55017,132,2,2018-01-10
187,9475,107,2,2018-01-10
188,58054,174,1,2018-01-10
189,21960,8,4,2018-01-10
190,5531,134,4,2018-01-10
191,94857,125,2,2018-01-10
192,3749,128,1,2018-01-10
193,97505,53,1,2018-01-10
194,98099,119,3,2018-01-10
195,13546,192,2,2018-01-10
196,66200,91,4,2018-01-10
197,34767,179,4,2018-01-10
198,73531,63,2,2018-01-10
199,93558,134,3,2018-01-10
200,61088,190,4,2018-01-11
201,95840,107,2,2018-01-11
202,68841,161,1,2018-01-11
203,54385,2,2,2018-01-11
204,51006,169,2,2018-01-11
205,46577,16,2,2018-01-11
206,39354,102,1,2018-01-11
207,62004,119,2,2018-01-11
208,83212,59,1,2018-01-11
209,52734,9,4,2018-01-11
210,65319,197,3,2018-01-11
211,89475,117,1,2018-01-11
212,23665,10,3,2018-01-11
213,67173,94,3,2018-01-11
214,85617,7,4,2018-01-11
215,93265,93,1,2018-01-11
216,26737,194,4,2018-01-11
217,94210,148,1,2018-01-11
218,855,123,3,2018-01-11
219,90085,63,3,2018-01-12
220,38624,4,2,2018-01-12
221,7393,28,1,2018-01-12
222,55681,72,3,2018-01-12
223,46718,163,1,2018-01-12
224,87093,130,4,2018-01-12
225,50860,169,4,2018-01-12
226,26310,156,1,2018-01-12
227,87456,75,3,2018-01-12
228,63735,73,4,2018-01-12
229,70468,102,3,2018-01-12
230,52663,129,1,2018-01-12
231,98507,155,2,2018-01-12
232,12689,67,3,2018-01-12
233,25343,167,4,2018-01-12
234,37158,168,1,2018-01-12
235,67864,28,2,2018-01-12
236,52084,92,4,2018-01-12
237,65734,152,1,2018-01-12
238,89046,82,1,2018-01-12
239,34699,51,3,2018-01-13
240,80624,56,2,2018-01-13
241,22672,73,1,2018-01-13
242,25185,26,2,2018-01-13
243,93385,88,2,2018-01-13
244,42108,52,3,2018-01-13
245,86203,125,1,2018-01-13
246,51664,6,1,2018-01-13
247,15709,187,3,2018-01-13
248,91907,117,3,2018-01-13
249,49812,12,1,2018-01-13
250,2812,63,3,2018-01-13
251,56251,36,1,2018-01-13
252,72083,9,4,2018-01-13
253,34755,74,2,2018-01-13
254,95743,67,2,2018-01-13
255,11412,29,3,2018-01-13
256,2912,71,4,2018-01-13
257,67271,90,2,2018-01-13
258,83764,8,1,2018-01-13
259,8681,43,2,2018-01-14
260,84897,35,2,2018-01-14
261,83880,110,2,2018-01-14
262,71296,22,1,2018-01-14
263,88615,66,3,2018-01-14
264,11112,102,1,2018-01-14
265,37505,149,3,2018-01-14
266,1803,94,2,2018-01-14
267,8156,199,2,2018-01-14
268,73657,95,4,2018-01-14
269,39385,169,2,2018-01-14
270,47255,41,1,2018-01-14
271,21919,177,2,2018-01-14
272,85982,4,4,2018-01-14
273,60714,98,1,2018-01-14
274,30307,193,4,2018-01-14
275,16647,10,4,2018-01-14
276,46844,94,1,2018-01-14
277,96602,67,3,2018-01-14
278,90736,138,3,2018-01-14
279,16372,73,3,2018-01-15
280,77372,145,3,2018-01-15
